continent, country_label, temperature, rainfall, population, code
1,china,15.1825044611,694.298763804,1337705000,chn
1,india,32.441017401,1020.99303505,1205624648,ind
2,unitedstates,17.6457019545,842.620980951,309326225,usa
1,indonesia,31.9474525637,2986.97195444,240676485,idn
3,brazil,33.0503419215,1554.5823856,195210154,bra
1,pakistan,29.9513197478,219.469154846,173149306,pak
4,nigeria,35.251450661,1031.21765732,159707780,nga
1,bangladesh,32.5031390964,3009.65076695,151125475,bgd
1,japan,16.490023494,1635.84556975,127450459,jpn
3,mexico,30.9812274461,756.900750334,117886404,mex
1,philippines,31.1922121111,2804.81802891,93444322,phl
4,ethiopia,31.3780187976,1374.51152183,87095281,eth
2,germany,12.3407085222,1033.54115631,81776930,deu
4,egypt,32.4345726221,12.5759016445,78075705,egy
2,turkey,20.3626786323,379.909413332,72137546,tur
1,thailand,33.1499408898,1367.94395706,66402316,tha
2,france,16.4614186215,1062.12544334,65031235,fra
2,unitedkingdom,12.0366251021,1142.71597269,62747868,gbr
2,italy,16.9427423549,898.377433121,60483385,ita
1,myanmar,30.2823284786,1836.31862595,51931231,mmr
4,southafrica,27.8544646196,540.070108677,50895698,zaf
2,spain,21.2583972408,802.276802626,46576897,esp
3,colombia,32.0423393878,2331.81568617,46444798,col
2,ukraine,14.236645166,663.125074555,45870700,ukr
