continent, country_label, temperature, rainfall, population, code
1,china,12.5852773684,684.19145822,1337705000,chn
1,india,29.6404869487,1150.66114635,1205624648,ind
2,unitedstates,14.7579091422,941.479435493,309326225,usa
1,indonesia,31.0347327999,2840.10027216,240676485,idn
3,brazil,31.8646053939,1186.8792295,195210154,bra
1,pakistan,27.0572402392,290.84257577,173149306,pak
4,nigeria,33.4417240827,1352.61990096,159707780,nga
1,bangladesh,29.5529017374,2116.8669628,151125475,bgd
1,japan,14.1305867251,1799.04698302,127450459,jpn
3,mexico,28.0511944128,886.934288728,117886404,mex
1,philippines,30.4134573152,2258.56024555,93444322,phl
4,ethiopia,30.1943953859,840.557619048,87095281,eth
2,germany,13.0557636198,784.443742558,81776930,deu
4,egypt,28.7211420669,57.1739903289,78075705,egy
2,turkey,14.7605004398,1029.353779,72137546,tur
1,thailand,31.7760407613,1552.49210564,66402316,tha
2,france,15.0106580311,1159.44991551,65031235,fra
2,unitedkingdom,11.7164033636,1034.96261842,62747868,gbr
2,italy,14.8718368891,1145.03055777,60483385,ita
1,myanmar,27.5045968024,2009.37797776,51931231,mmr
4,southafrica,26.5179332793,315.087098526,50895698,zaf
2,spain,17.6584581132,1154.68962148,46576897,esp
3,colombia,31.0302895676,2032.81133471,46444798,col
2,ukraine,12.3097129272,544.445014059,45870700,ukr
