continent, country_label, temperature, rainfall, population, code
1,china,15.0625534457,595.747218124,1337705000,chn
1,india,31.1878852041,1118.38131185,1205624648,ind
2,unitedstates,17.8667306556,788.685210977,309326225,usa
1,indonesia,31.5181266729,3342.38012997,240676485,idn
3,brazil,31.793494427,2054.1704984,195210154,bra
1,pakistan,29.557297135,149.417439762,173149306,pak
4,nigeria,34.7171081148,1020.72963438,159707780,nga
1,bangladesh,30.8727516624,2707.12331121,151125475,bgd
1,japan,16.6532313778,1548.26783087,127450459,jpn
3,mexico,31.1263956478,579.350498962,117886404,mex
1,philippines,30.7617671925,4306.61788276,93444322,phl
4,ethiopia,31.4305504735,836.199195996,87095281,eth
2,germany,13.8697865172,1025.63841991,81776930,deu
4,egypt,31.5358525449,24.2368715813,78075705,egy
2,turkey,19.8012720412,405.18762508,72137546,tur
1,thailand,31.9509743658,1395.11006499,66402316,tha
2,france,15.5506354812,1020.58765157,65031235,fra
2,unitedkingdom,12.7490626782,1151.25503872,62747868,gbr
2,italy,16.3978904017,767.270358209,60483385,ita
1,myanmar,28.7911206773,1847.14325564,51931231,mmr
4,southafrica,27.8951408646,412.810340746,50895698,zaf
2,spain,19.7932536859,743.969302433,46576897,esp
3,colombia,30.5470878368,2761.9475642,46444798,col
2,ukraine,16.1408646097,419.853745695,45870700,ukr
