continent, country_label, temperature, rainfall, population, code
1,china,12.8524680342,644.531991398,1337705000,chn
1,india,28.9472578378,1175.13090706,1205624648,ind
2,unitedstates,14.9301560606,788.199749932,309326225,usa
1,indonesia,29.72560516,3251.20881079,240676485,idn
3,brazil,29.6001157978,1972.81498205,195210154,bra
1,pakistan,26.676595712,266.984220885,173149306,pak
4,nigeria,31.1909886949,1272.10500344,159707780,nga
1,bangladesh,29.5205719202,2268.92549142,151125475,bgd
1,japan,14.7185251737,1919.0386375,127450459,jpn
3,mexico,29.1122480046,805.015890516,117886404,mex
1,philippines,29.2798816888,2606.58219421,93444322,phl
4,ethiopia,28.5482989697,1057.23272291,87095281,eth
2,germany,11.8615191791,1045.76001228,81776930,deu
4,egypt,29.0507322161,23.4459202779,78075705,egy
2,turkey,16.2823996546,607.508420203,72137546,tur
1,thailand,30.7154834979,1664.45716604,66402316,tha
2,france,14.2164163845,997.982602271,65031235,fra
2,unitedkingdom,11.5815557398,969.979602781,62747868,gbr
2,italy,14.5416809685,911.156194433,60483385,ita
1,myanmar,27.4342337738,1927.20689035,51931231,mmr
4,southafrica,24.3153330388,625.109531895,50895698,zaf
2,spain,18.6523840147,597.782861553,46576897,esp
3,colombia,28.6809161065,2477.55647982,46444798,col
2,ukraine,11.3734034968,643.079188405,45870700,ukr
