continent, country_label, temperature, rainfall, population, code
1,china,15.49695453,621.633340331,1337705000,chn
1,india,31.8902223345,1258.10291905,1205624648,ind
2,unitedstates,18.1047562129,978.528088305,309326225,usa
1,indonesia,32.4814924126,2648.01373223,240676485,idn
3,brazil,33.6503334362,1519.0971354,195210154,bra
1,pakistan,30.0443927765,262.851160853,173149306,pak
4,nigeria,35.2990306856,1248.59015098,159707780,nga
1,bangladesh,31.343147996,2876.17983954,151125475,bgd
1,japan,16.5555477243,1906.68031154,127450459,jpn
3,mexico,31.2760614091,774.58387285,117886404,mex
1,philippines,31.6788526023,3079.33821001,93444322,phl
4,ethiopia,32.3034776065,908.333304251,87095281,eth
2,germany,15.3404313843,820.027949057,81776930,deu
4,egypt,32.2772268347,41.7650971887,78075705,egy
2,turkey,20.0122261173,431.097479061,72137546,tur
1,thailand,33.8099882792,1664.04634563,66402316,tha
2,france,18.1095919469,895.582557806,65031235,fra
2,unitedkingdom,13.9535343723,1119.20664834,62747868,gbr
2,italy,18.0459406082,798.767841939,60483385,ita
1,myanmar,30.2258362643,2024.6209809,51931231,mmr
4,southafrica,28.3404373919,386.007305709,50895698,zaf
2,spain,21.0986597241,744.522310419,46576897,esp
3,colombia,32.181803442,3191.89946401,46444798,col
2,ukraine,14.9274653378,490.724362562,45870700,ukr
