continent, country_label, temperature, rainfall, population, code
1,china,15.2125251347,530.087163743,1337705000,chn
1,india,31.8572383019,1090.25052681,1205624648,ind
2,unitedstates,18.1182816859,862.397922337,309326225,usa
1,indonesia,32.2335789819,2432.67541754,240676485,idn
3,brazil,33.0627617565,1650.8310621,195210154,bra
1,pakistan,29.5913118349,181.613039827,173149306,pak
4,nigeria,35.8034150204,1104.89903039,159707780,nga
1,bangladesh,32.0460065575,2361.87310943,151125475,bgd
1,japan,16.8486952044,1393.22982714,127450459,jpn
3,mexico,31.4932253552,475.857153798,117886404,mex
1,philippines,31.1188375889,2476.61478172,93444322,phl
4,ethiopia,32.352779715,755.446020399,87095281,eth
2,germany,13.9480599723,994.961636239,81776930,deu
4,egypt,32.4828836127,10.310197446,78075705,egy
2,turkey,21.0082907745,391.37333668,72137546,tur
1,thailand,33.1006087783,1461.2282269,66402316,tha
2,france,17.2818058215,1024.87378794,65031235,fra
2,unitedkingdom,12.6576708858,1290.96548176,62747868,gbr
2,italy,17.6435663112,770.525165381,60483385,ita
1,myanmar,29.9082717802,1868.3667295,51931231,mmr
4,southafrica,27.5887407473,485.819665896,50895698,zaf
2,spain,21.8396274325,567.321089324,46576897,esp
3,colombia,31.5663682913,2610.57882896,46444798,col
2,ukraine,15.3406153064,646.471297387,45870700,ukr
