continent, country_label, temperature, rainfall, population, code
1,china,11.8540009858,668.652042974,1337705000,chn
1,india,28.9547982316,1578.80508816,1205624648,ind
2,unitedstates,15.0895256135,794.873270843,309326225,usa
1,indonesia,29.9257298612,3070.87254696,240676485,idn
3,brazil,30.1140027406,1776.88916804,195210154,bra
1,pakistan,26.5589978613,356.258118202,173149306,pak
4,nigeria,32.0199749728,1474.62373913,159707780,nga
1,bangladesh,29.2485337127,2270.19301145,151125475,bgd
1,japan,13.8410355305,1494.10004399,127450459,jpn
3,mexico,28.7939204765,759.496246907,117886404,mex
1,philippines,29.6385357474,3118.05398362,93444322,phl
4,ethiopia,29.4866011003,693.930476658,87095281,eth
2,germany,11.55090538,824.473039509,81776930,deu
4,egypt,30.1081190679,54.527217355,78075705,egy
2,turkey,16.2422092855,637.582254431,72137546,tur
1,thailand,30.6955490699,1636.5258009,66402316,tha
2,france,13.979249617,932.508478612,65031235,fra
2,unitedkingdom,11.4513611214,1082.96802766,62747868,gbr
2,italy,14.2331194265,1149.48150834,60483385,ita
1,myanmar,27.3795712306,1936.13857171,51931231,mmr
4,southafrica,24.8986861887,545.902383974,50895698,zaf
2,spain,18.2780425348,823.759620195,46576897,esp
3,colombia,29.1710545131,2486.88572237,46444798,col
2,ukraine,10.6778930342,683.714496898,45870700,ukr
