continent, country_label, temperature, rainfall, population, code
1,china,12.1967317058,803.887992963,1337705000,chn
1,india,29.1481559098,1527.46744563,1205624648,ind
2,unitedstates,14.671006717,882.934681136,309326225,usa
1,indonesia,31.046695145,3485.85649438,240676485,idn
3,brazil,30.5745004,1861.58819623,195210154,bra
1,pakistan,26.525269261,350.699260885,173149306,pak
4,nigeria,33.5532547197,1055.4780925,159707780,nga
1,bangladesh,29.0495319256,2962.88729238,151125475,bgd
1,japan,14.4683634993,2042.56582623,127450459,jpn
3,mexico,28.7910587048,1128.1797645,117886404,mex
1,philippines,30.946054239,1254.69174224,93444322,phl
4,ethiopia,29.6171201467,902.412771922,87095281,eth
2,germany,11.2279041538,873.682969401,81776930,deu
4,egypt,29.986570838,11.9176765563,78075705,egy
2,turkey,15.9907606721,864.23243597,72137546,tur
1,thailand,32.1401337658,1877.83996284,66402316,tha
2,france,13.1080856898,1127.24262568,65031235,fra
2,unitedkingdom,10.8544638958,1118.01746594,62747868,gbr
2,italy,13.5479999428,1259.9302886,60483385,ita
1,myanmar,27.593823349,2246.93769239,51931231,mmr
4,southafrica,26.4771068911,364.307275387,50895698,zaf
2,spain,17.7075304408,914.292103354,46576897,esp
3,colombia,29.1456080947,3587.88071414,46444798,col
2,ukraine,10.8436985573,781.559644905,45870700,ukr
