continent, country_label, temperature, rainfall, population, code
1,china,12.8887718762,564.5212403,1337705000,chn
1,india,28.9610916159,994.276813906,1205624648,ind
2,unitedstates,15.0657535567,792.146792479,309326225,usa
1,indonesia,30.1395681902,3444.2250234,240676485,idn
3,brazil,29.2516664056,2189.99105361,195210154,bra
1,pakistan,27.0813985598,154.145352445,173149306,pak
4,nigeria,32.3114873733,1047.5787652,159707780,nga
1,bangladesh,28.4078393442,2768.85539712,151125475,bgd
1,japan,14.9385259591,1841.71631537,127450459,jpn
3,mexico,28.5750156084,870.88334314,117886404,mex
1,philippines,29.4774673517,3001.70832943,93444322,phl
4,ethiopia,29.5451994971,484.97978174,87095281,eth
2,germany,10.5667799212,987.29148975,81776930,deu
4,egypt,29.8691912121,22.1229135349,78075705,egy
2,turkey,17.6720037437,478.63776371,72137546,tur
1,thailand,30.1193409966,2127.49254126,66402316,tha
2,france,13.3605073035,1142.11324445,65031235,fra
2,unitedkingdom,10.2052786774,1151.33129852,62747868,gbr
2,italy,14.5752332045,1039.37602319,60483385,ita
1,myanmar,26.4029792284,2285.68765027,51931231,mmr
4,southafrica,23.4267363584,709.36994247,50895698,zaf
2,spain,18.0971079925,705.164433056,46576897,esp
3,colombia,28.4281361228,3063.8126096,46444798,col
2,ukraine,11.4221825345,596.195228454,45870700,ukr
