continent, country_label, temperature, rainfall, population, code
1,china,15.0365098793,592.888964878,1337705000,chn
1,india,31.5827840292,966.496569469,1205624648,ind
2,unitedstates,16.7686542654,860.985702598,309326225,usa
1,indonesia,31.4359180426,3020.89006228,240676485,idn
3,brazil,31.9689785998,1887.71174302,195210154,bra
1,pakistan,29.0142259474,156.224743265,173149306,pak
4,nigeria,33.9867122603,761.975081505,159707780,nga
1,bangladesh,31.8945528091,2595.45167216,151125475,bgd
1,japan,16.5782203836,1522.31860421,127450459,jpn
3,mexico,30.6333725082,576.551286107,117886404,mex
1,philippines,30.4545911837,4037.25718451,93444322,phl
4,ethiopia,30.4243841439,1107.46234119,87095281,eth
2,germany,14.0606617021,1020.28577194,81776930,deu
4,egypt,32.0515668424,10.5747513612,78075705,egy
2,turkey,20.0241754449,296.585584586,72137546,tur
1,thailand,32.4338953227,1328.78350191,66402316,tha
2,france,16.6136409611,1097.35346851,65031235,fra
2,unitedkingdom,13.0701692857,1085.34709565,62747868,gbr
2,italy,17.0487902634,830.550037313,60483385,ita
1,myanmar,29.3686317151,2112.60594781,51931231,mmr
4,southafrica,27.2695779655,419.838041965,50895698,zaf
2,spain,20.3084253958,679.556971301,46576897,esp
3,colombia,31.021281192,2620.00300252,46444798,col
2,ukraine,14.6468918327,594.153213811,45870700,ukr
