continent, country_label, temperature, rainfall, population, code
1,china,12.5275006117,705.993722829,1337705000,chn
1,india,29.5950204199,976.359050137,1205624648,ind
2,unitedstates,14.1916484375,997.465716447,309326225,usa
1,indonesia,31.0240229187,2075.21927296,240676485,idn
3,brazil,31.0576243605,1528.66750319,195210154,bra
1,pakistan,26.5225200447,261.415511253,173149306,pak
4,nigeria,33.0033530476,1309.68013195,159707780,nga
1,bangladesh,29.6749754962,2612.83512826,151125475,bgd
1,japan,15.0518868998,1680.41061544,127450459,jpn
3,mexico,27.9315010657,819.237834331,117886404,mex
1,philippines,29.8438347984,2164.31873506,93444322,phl
4,ethiopia,29.6672810032,949.10156172,87095281,eth
2,germany,13.7921656966,908.628946569,81776930,deu
4,egypt,29.2582021792,44.622995165,78075705,egy
2,turkey,16.9075876591,742.295655485,72137546,tur
1,thailand,31.9310405865,1593.3662009,66402316,tha
2,france,15.1057918087,1179.27093343,65031235,fra
2,unitedkingdom,12.1621119228,1204.15231413,62747868,gbr
2,italy,14.9770307995,961.770362562,60483385,ita
1,myanmar,27.8077312034,2112.12559524,51931231,mmr
4,southafrica,26.1807962077,575.107856139,50895698,zaf
2,spain,18.3039982984,828.249228173,46576897,esp
3,colombia,30.2008646298,1935.9872978,46444798,col
2,ukraine,13.8578488632,620.214248572,45870700,ukr
