continent, country_label, temperature, rainfall, population, code
1,china,15.0147436107,698.594314395,1337705000,chn
1,india,31.047693267,1612.63100817,1205624648,ind
2,unitedstates,17.9596870548,817.938248729,309326225,usa
1,indonesia,32.3132095582,3664.19816771,240676485,idn
3,brazil,31.4994661824,2023.67994088,195210154,bra
1,pakistan,29.4739531398,303.20545661,173149306,pak
4,nigeria,34.4601008815,1117.90270923,159707780,nga
1,bangladesh,31.3495994219,3003.13497301,151125475,bgd
1,japan,16.9499175878,2113.99061797,127450459,jpn
3,mexico,30.3748603126,939.882580205,117886404,mex
1,philippines,31.8754868744,2710.87557025,93444322,phl
4,ethiopia,31.209627959,1239.88195293,87095281,eth
2,germany,14.1301170456,939.563894318,81776930,deu
4,egypt,32.7233208867,9.01701187768,78075705,egy
2,turkey,20.5931417834,302.001827743,72137546,tur
1,thailand,31.3080918704,2535.42666288,66402316,tha
2,france,17.3355820241,741.201877607,65031235,fra
2,unitedkingdom,12.9405108721,1048.65493296,62747868,gbr
2,italy,17.9432967345,649.449946693,60483385,ita
1,myanmar,28.4843885481,2700.86513819,51931231,mmr
4,southafrica,27.3388766489,495.698542983,50895698,zaf
2,spain,21.4739724615,454.596304634,46576897,esp
3,colombia,30.4638758548,2763.99711648,46444798,col
2,ukraine,15.1607495593,377.64007917,45870700,ukr
