continent, country_label, temperature, rainfall, population, code
1,china,15.3315962492,652.920728608,1337705000,chn
1,india,31.7445767134,1047.66375077,1205624648,ind
2,unitedstates,18.0071013792,780.997078243,309326225,usa
1,indonesia,31.4893548007,3571.3368331,240676485,idn
3,brazil,31.844771104,1870.98863683,195210154,bra
1,pakistan,29.4633105822,124.499050098,173149306,pak
4,nigeria,34.1158110261,959.319161206,159707780,nga
1,bangladesh,32.2688810884,2680.20174122,151125475,bgd
1,japan,17.1984954883,1652.95966275,127450459,jpn
3,mexico,30.3730080422,914.903853202,117886404,mex
1,philippines,31.037755169,3809.44433539,93444322,phl
4,ethiopia,31.5497159761,600.226960658,87095281,eth
2,germany,14.2933880715,987.444365326,81776930,deu
4,egypt,31.5164218896,14.0654630208,78075705,egy
2,turkey,20.168640147,439.131902701,72137546,tur
1,thailand,31.4792836768,2007.22541358,66402316,tha
2,france,16.560522081,982.684614877,65031235,fra
2,unitedkingdom,13.8148620609,1285.98978138,62747868,gbr
2,italy,17.178978816,761.99760379,60483385,ita
1,myanmar,29.4707570382,2348.48869194,51931231,mmr
4,southafrica,26.0117820457,638.36315346,50895698,zaf
2,spain,21.0932950374,529.205782753,46576897,esp
3,colombia,30.6876769404,2648.23701797,46444798,col
2,ukraine,16.0256731438,433.936589601,45870700,ukr
