continent, country_label, temperature, rainfall, population, code
1,china,12.1760560599,744.184323925,1337705000,chn
1,india,29.3019078857,1325.20314313,1205624648,ind
2,unitedstates,14.5280324678,757.596690307,309326225,usa
1,indonesia,30.3232299103,3531.64414187,240676485,idn
3,brazil,29.7384533094,2023.19349988,195210154,bra
1,pakistan,26.4493048828,345.51416618,173149306,pak
4,nigeria,33.2581292938,981.109713547,159707780,nga
1,bangladesh,28.8749771248,3146.44149966,151125475,bgd
1,japan,14.305368986,1802.24884422,127450459,jpn
3,mexico,28.4383529597,510.532737927,117886404,mex
1,philippines,29.9685756737,1862.98731607,93444322,phl
4,ethiopia,29.8184218519,1086.64714923,87095281,eth
2,germany,12.8735898369,796.534509683,81776930,deu
4,egypt,29.8238182022,26.7891802489,78075705,egy
2,turkey,17.7780403872,448.676406214,72137546,tur
1,thailand,31.7351875503,1700.86821873,66402316,tha
2,france,15.433470689,852.125176408,65031235,fra
2,unitedkingdom,11.7781392144,1297.44390021,62747868,gbr
2,italy,16.1800611758,789.18245435,60483385,ita
1,myanmar,27.6393233942,2093.34869781,51931231,mmr
4,southafrica,25.3888907333,450.903740024,50895698,zaf
2,spain,18.906524112,545.91068907,46576897,esp
3,colombia,29.389989475,2274.5550346,46444798,col
2,ukraine,13.2521552996,580.890254454,45870700,ukr
