continent, country_label, temperature, rainfall, population, code
1,china,15.5802774963,621.794906452,1337705000,chn
1,india,31.8987811287,1062.35526097,1205624648,ind
2,unitedstates,17.5214084483,1022.39408526,309326225,usa
1,indonesia,31.7921393057,2813.44196002,240676485,idn
3,brazil,32.9999064054,1459.0023942,195210154,bra
1,pakistan,29.2127278373,276.659344832,173149306,pak
4,nigeria,35.120181631,969.217156578,159707780,nga
1,bangladesh,32.1904574546,2458.43991492,151125475,bgd
1,japan,17.1900217536,1575.05969825,127450459,jpn
3,mexico,31.1963941686,686.598130996,117886404,mex
1,philippines,30.9520891374,3073.52384162,93444322,phl
4,ethiopia,31.8022080812,989.603174,87095281,eth
2,germany,14.1186055641,933.184582693,81776930,deu
4,egypt,31.4427209713,54.2608151688,78075705,egy
2,turkey,18.163177142,672.119306073,72137546,tur
1,thailand,32.6939378943,1944.93787726,66402316,tha
2,france,17.2608114948,827.356654787,65031235,fra
2,unitedkingdom,13.4486719153,1141.88394896,62747868,gbr
2,italy,17.5611120076,635.352876049,60483385,ita
1,myanmar,29.5227542671,2425.09667078,51931231,mmr
4,southafrica,27.880987496,559.732669136,50895698,zaf
2,spain,21.8499551359,468.328236908,46576897,esp
3,colombia,32.3545134616,1742.51236542,46444798,col
2,ukraine,13.5900371773,609.617641888,45870700,ukr
