continent, country_label, temperature, rainfall, population, code
1,china,12.7785029524,586.376873028,1337705000,chn
1,india,29.0979354426,1222.18662887,1205624648,ind
2,unitedstates,15.129359613,840.951474807,309326225,usa
1,indonesia,30.6805335141,1777.37893308,240676485,idn
3,brazil,30.3092533334,1741.64554964,195210154,bra
1,pakistan,26.4195996446,329.015314414,173149306,pak
4,nigeria,32.6108930139,876.063062877,159707780,nga
1,bangladesh,29.2426334024,2623.22342727,151125475,bgd
1,japan,14.3773287039,1585.07041627,127450459,jpn
3,mexico,27.8604593492,769.237638189,117886404,mex
1,philippines,29.3569924636,1510.452494,93444322,phl
4,ethiopia,29.3905710562,1160.18993588,87095281,eth
2,germany,12.5058138142,1009.51770277,81776930,deu
4,egypt,29.4691450564,51.9605551236,78075705,egy
2,turkey,16.3214929961,622.256829627,72137546,tur
1,thailand,31.8597651931,1373.31444556,66402316,tha
2,france,14.1858458314,1278.64439239,65031235,fra
2,unitedkingdom,12.0414276235,968.722794536,62747868,gbr
2,italy,14.5578023124,1170.95807101,60483385,ita
1,myanmar,27.8170878302,2007.85705588,51931231,mmr
4,southafrica,25.3678029044,358.137699156,50895698,zaf
2,spain,17.5744488983,956.222963655,46576897,esp
3,colombia,29.9272993932,2096.59064616,46444798,col
2,ukraine,11.6178377787,697.414284773,45870700,ukr
