continent, country_label, temperature, rainfall, population, code
1,china,13.0491372298,658.7601265,1337705000,chn
1,india,30.1661584853,926.975795837,1205624648,ind
2,unitedstates,16.0848121687,792.098171223,309326225,usa
1,indonesia,31.6302332632,1857.55319131,240676485,idn
3,brazil,32.195657146,1546.31591066,195210154,bra
1,pakistan,26.7975900031,337.615727588,173149306,pak
4,nigeria,34.3475526308,1076.52503143,159707780,nga
1,bangladesh,30.4927690878,2137.39567472,151125475,bgd
1,japan,14.9138891031,1879.78980002,127450459,jpn
3,mexico,28.748722646,815.984317732,117886404,mex
1,philippines,30.1968941313,1727.80108857,93444322,phl
4,ethiopia,30.3684843635,714.345190748,87095281,eth
2,germany,12.2445230364,904.070420965,81776930,deu
4,egypt,30.3099245913,27.7415115441,78075705,egy
2,turkey,18.6569263592,552.280691567,72137546,tur
1,thailand,32.8831677775,1312.79947469,66402316,tha
2,france,14.8332794454,1085.39161378,65031235,fra
2,unitedkingdom,11.9861241262,1229.05114043,62747868,gbr
2,italy,15.4691231984,964.576639922,60483385,ita
1,myanmar,28.8824125304,1712.94054169,51931231,mmr
4,southafrica,27.4105087413,457.53962031,50895698,zaf
2,spain,19.8674488561,631.625807695,46576897,esp
3,colombia,30.8753624872,1960.02667718,46444798,col
2,ukraine,13.1675419862,718.207204019,45870700,ukr
