continent, country_label, temperature, rainfall, population, code
1,china,14.6506188491,699.317564065,1337705000,chn
1,india,32.3544621499,865.369318086,1205624648,ind
2,unitedstates,16.9265981885,1043.76721876,309326225,usa
1,indonesia,32.6681632132,2282.31490978,240676485,idn
3,brazil,34.0491464692,1333.64702597,195210154,bra
1,pakistan,29.075968063,297.66550953,173149306,pak
4,nigeria,35.434530831,935.17595263,159707780,nga
1,bangladesh,31.6674491405,2535.41976576,151125475,bgd
1,japan,16.6902026613,1744.89584851,127450459,jpn
3,mexico,29.6366290729,712.063280862,117886404,mex
1,philippines,31.4650137536,2192.85837803,93444322,phl
4,ethiopia,32.0376170527,687.673325367,87095281,eth
2,germany,14.2836003512,788.80686456,81776930,deu
4,egypt,31.3086617937,43.8248834714,78075705,egy
2,turkey,17.9734490565,537.865986435,72137546,tur
1,thailand,33.302080542,1524.2210067,66402316,tha
2,france,16.2385373984,1081.4529254,65031235,fra
2,unitedkingdom,13.7986269542,996.995496617,62747868,gbr
2,italy,16.4047407545,1058.45185597,60483385,ita
1,myanmar,29.6300713305,2125.75131715,51931231,mmr
4,southafrica,28.1672150038,366.384326914,50895698,zaf
2,spain,19.426465263,872.963864675,46576897,esp
3,colombia,32.5714253938,2187.87434154,46444798,col
2,ukraine,13.1672896775,659.755588707,45870700,ukr
