continent, country_label, temperature, rainfall, population, code
1,china,12.8694869725,579.706203108,1337705000,chn
1,india,28.543756112,1544.39081023,1205624648,ind
2,unitedstates,14.9216881549,754.451463061,309326225,usa
1,indonesia,29.9048267007,3795.58207233,240676485,idn
3,brazil,29.5022930863,2012.61688743,195210154,bra
1,pakistan,26.2519247762,435.422693604,173149306,pak
4,nigeria,32.2057935329,1311.23781188,159707780,nga
1,bangladesh,29.3812915425,2699.56464782,151125475,bgd
1,japan,14.9426825181,1856.20249417,127450459,jpn
3,mexico,28.9732725179,823.628621146,117886404,mex
1,philippines,29.6156905282,2161.73815661,93444322,phl
4,ethiopia,28.6277336175,1115.80613064,87095281,eth
2,germany,11.8047155149,859.600340129,81776930,deu
4,egypt,29.866614671,11.4335665646,78075705,egy
2,turkey,17.6036478266,579.226123011,72137546,tur
1,thailand,30.2649724034,2133.74009202,66402316,tha
2,france,14.1289609641,1226.94339978,65031235,fra
2,unitedkingdom,11.6945628503,1027.32759605,62747868,gbr
2,italy,14.1184859644,1193.88098323,60483385,ita
1,myanmar,27.257901973,2450.59287457,51931231,mmr
4,southafrica,24.1799347663,627.918458749,50895698,zaf
2,spain,18.4834708405,909.69069812,46576897,esp
3,colombia,28.4200235778,3265.83115688,46444798,col
2,ukraine,13.1398125874,665.784097659,45870700,ukr
