continent, country_label, temperature, rainfall, population, code
1,china,12.5710860606,725.544466598,1337705000,chn
1,india,30.4435763223,1057.05689157,1205624648,ind
2,unitedstates,15.4273273865,889.382869703,309326225,usa
1,indonesia,31.1710737481,2919.97427938,240676485,idn
3,brazil,31.9221372244,1411.70822171,195210154,bra
1,pakistan,26.822377503,338.8898393,173149306,pak
4,nigeria,33.5149755833,1049.40701122,159707780,nga
1,bangladesh,30.4830702994,3031.11168708,151125475,bgd
1,japan,15.0646273604,1943.84404291,127450459,jpn
3,mexico,28.1584097353,852.750201396,117886404,mex
1,philippines,30.9173628815,2386.68505059,93444322,phl
4,ethiopia,29.5075472837,1282.91510703,87095281,eth
2,germany,11.6582424744,722.685152397,81776930,deu
4,egypt,29.2984729734,19.1048978594,78075705,egy
2,turkey,16.1734451594,574.590741109,72137546,tur
1,thailand,32.7083513004,1785.46928461,66402316,tha
2,france,14.2446905367,950.618196611,65031235,fra
2,unitedkingdom,11.6918739017,991.456942944,62747868,gbr
2,italy,14.069404071,1160.98138734,60483385,ita
1,myanmar,28.5928502795,2242.98736051,51931231,mmr
4,southafrica,27.1470930058,395.84252574,50895698,zaf
2,spain,18.6764305159,737.758937728,46576897,esp
3,colombia,30.1439466588,2795.76655728,46444798,col
2,ukraine,12.5162336133,631.531737313,45870700,ukr
