continent, country_label, temperature, rainfall, population, code
1,china,11.8744841878,682.7102504,1337705000,chn
1,india,29.799538666,923.83125906,1205624648,ind
2,unitedstates,14.7780040675,859.784221187,309326225,usa
1,indonesia,30.324653266,2623.83714996,240676485,idn
3,brazil,30.9115357306,1720.27513471,195210154,bra
1,pakistan,26.5806021216,156.212017701,173149306,pak
4,nigeria,32.91169515,1059.56518804,159707780,nga
1,bangladesh,29.6893561958,2270.14726232,151125475,bgd
1,japan,13.5298510627,1926.3303132,127450459,jpn
3,mexico,28.6992689309,767.341434336,117886404,mex
1,philippines,29.3681200748,2760.36362445,93444322,phl
4,ethiopia,29.8752944607,612.440620183,87095281,eth
2,germany,12.4152612292,870.939269312,81776930,deu
4,egypt,28.7053545089,57.5364514419,78075705,egy
2,turkey,15.9833671455,752.37809446,72137546,tur
1,thailand,31.5106895834,1701.86875943,66402316,tha
2,france,14.4647456694,1035.96967476,65031235,fra
2,unitedkingdom,11.7268293306,1068.09562865,62747868,gbr
2,italy,14.3694532709,1056.6033572,60483385,ita
1,myanmar,27.7874610037,2062.75833564,51931231,mmr
4,southafrica,24.7205950735,535.529138274,50895698,zaf
2,spain,18.3290135179,687.675306824,46576897,esp
3,colombia,29.3511360829,2537.22587556,46444798,col
2,ukraine,11.7751085538,514.548939161,45870700,ukr
