continent, country_label, temperature, rainfall, population, code
1,china,14.7657071535,675.876399666,1337705000,chn
1,india,32.009965724,1259.45124017,1205624648,ind
2,unitedstates,16.822897044,965.653280645,309326225,usa
1,indonesia,32.5846441318,3973.80968906,240676485,idn
3,brazil,33.4726585719,1333.97281046,195210154,bra
1,pakistan,29.2201849393,278.545258748,173149306,pak
4,nigeria,35.3474826401,881.239602011,159707780,nga
1,bangladesh,32.7414695153,1299.86411337,151125475,bgd
1,japan,15.6446952091,2094.84184537,127450459,jpn
3,mexico,30.6170909748,879.099703423,117886404,mex
1,philippines,32.2122320015,1827.29986168,93444322,phl
4,ethiopia,31.3634905407,1198.06796668,87095281,eth
2,germany,14.6406466301,879.141514922,81776930,deu
4,egypt,32.1998165857,22.9687747115,78075705,egy
2,turkey,19.6936418052,332.393217593,72137546,tur
1,thailand,33.8526269559,1443.02595672,66402316,tha
2,france,17.1252740494,866.473473042,65031235,fra
2,unitedkingdom,13.2024167551,1125.14726073,62747868,gbr
2,italy,17.0580641875,894.284889469,60483385,ita
1,myanmar,30.3175875117,1669.69870713,51931231,mmr
4,southafrica,28.6723197788,380.985076266,50895698,zaf
2,spain,20.9716923541,482.308302098,46576897,esp
3,colombia,32.1118240652,2502.56941317,46444798,col
2,ukraine,14.9062437088,545.772201888,45870700,ukr
