continent, country_label, temperature, rainfall, population, code
1,china,14.8362025581,600.181146082,1337705000,chn
1,india,30.8201093882,1273.59610005,1205624648,ind
2,unitedstates,16.6955437302,889.794282841,309326225,usa
1,indonesia,31.3353153068,2223.19129456,240676485,idn
3,brazil,31.7668045639,1676.68690749,195210154,bra
1,pakistan,28.7739754279,302.942992092,173149306,pak
4,nigeria,34.5552291482,948.506853521,159707780,nga
1,bangladesh,31.6688113026,2619.54633523,151125475,bgd
1,japan,16.674126484,1809.73380576,127450459,jpn
3,mexico,30.6053357285,596.80588764,117886404,mex
1,philippines,30.1417026761,3146.14373052,93444322,phl
4,ethiopia,30.8254144832,1281.46342044,87095281,eth
2,germany,13.6530031602,887.726248574,81776930,deu
4,egypt,32.04423522,32.3890879046,78075705,egy
2,turkey,20.2455150035,498.51215164,72137546,tur
1,thailand,32.4993491973,1735.06944896,66402316,tha
2,france,16.6898583264,933.787676433,65031235,fra
2,unitedkingdom,13.1233526562,1018.81495394,62747868,gbr
2,italy,17.0023488904,1018.6206255,60483385,ita
1,myanmar,29.5252016072,2193.07772328,51931231,mmr
4,southafrica,26.9084293698,552.062362661,50895698,zaf
2,spain,20.2115659329,786.914179961,46576897,esp
3,colombia,31.6171141184,1897.40890319,46444798,col
2,ukraine,14.3694790125,629.536464474,45870700,ukr
