continent, country_label, temperature, rainfall, population, code
1,china,13.145136634,588.714747444,1337705000,chn
1,india,29.5572421837,1067.71022066,1205624648,ind
2,unitedstates,14.5327441718,858.173677716,309326225,usa
1,indonesia,30.2426394337,2265.20930881,240676485,idn
3,brazil,30.3475194124,1744.60910422,195210154,bra
1,pakistan,26.7864822939,400.00195508,173149306,pak
4,nigeria,32.4019599675,1275.24015663,159707780,nga
1,bangladesh,29.4711461462,2526.32858658,151125475,bgd
1,japan,14.5617393354,1556.15950435,127450459,jpn
3,mexico,27.7387149528,771.995883671,117886404,mex
1,philippines,28.9465912649,2172.4578881,93444322,phl
4,ethiopia,29.4025697866,961.40527514,87095281,eth
2,germany,12.3774984822,943.402469422,81776930,deu
4,egypt,28.8861890351,31.4204081743,78075705,egy
2,turkey,15.5565391433,842.753843461,72137546,tur
1,thailand,31.738668045,1323.64000867,66402316,tha
2,france,14.6062162562,1272.06621886,65031235,fra
2,unitedkingdom,12.3494318728,1130.58934858,62747868,gbr
2,italy,14.0671483759,1146.95557572,60483385,ita
1,myanmar,27.8720584795,1881.5054594,51931231,mmr
4,southafrica,25.34441055,366.415695746,50895698,zaf
2,spain,18.3805526496,878.384943409,46576897,esp
3,colombia,29.8675292759,1741.57687272,46444798,col
2,ukraine,11.7288437536,621.685391795,45870700,ukr
