continent, country_label, temperature, rainfall, population, code
1,china,15.1018293671,656.092380844,1337705000,chn
1,india,31.7942026216,1554.69617197,1205624648,ind
2,unitedstates,17.7361328877,946.894627662,309326225,usa
1,indonesia,32.5020352655,3552.33041672,240676485,idn
3,brazil,33.0363122645,2190.44544744,195210154,bra
1,pakistan,29.2494796582,351.001750682,173149306,pak
4,nigeria,35.7577982389,1183.42108185,159707780,nga
1,bangladesh,31.8491124102,2999.39988275,151125475,bgd
1,japan,17.0446050082,1979.56422851,127450459,jpn
3,mexico,30.9672200103,1019.88918385,117886404,mex
1,philippines,32.5067105414,1695.68705838,93444322,phl
4,ethiopia,32.254383387,998.700129106,87095281,eth
2,germany,13.2635457622,967.121977931,81776930,deu
4,egypt,31.8668972267,12.1697197243,78075705,egy
2,turkey,18.5148753328,455.641155749,72137546,tur
1,thailand,33.7081802043,1508.88300315,66402316,tha
2,france,16.6269381407,859.279749208,65031235,fra
2,unitedkingdom,12.7401356616,1270.70088903,62747868,gbr
2,italy,16.7892620109,659.364422754,60483385,ita
1,myanmar,29.8943682956,2109.27657173,51931231,mmr
4,southafrica,28.2207293524,556.358630479,50895698,zaf
2,spain,21.9629566417,450.353998192,46576897,esp
3,colombia,31.0956674887,3915.55362257,46444798,col
2,ukraine,13.5685740965,656.320134716,45870700,ukr
