continent, country_label, temperature, rainfall, population, code
1,china,15.1801424979,728.077053939,1337705000,chn
1,india,32.432694576,1485.63414661,1205624648,ind
2,unitedstates,17.5628333274,997.15428137,309326225,usa
1,indonesia,32.9467198865,4114.14013134,240676485,idn
3,brazil,33.3596045387,1751.61757649,195210154,bra
1,pakistan,29.752556584,282.016709024,173149306,pak
4,nigeria,36.6405485776,902.597975292,159707780,nga
1,bangladesh,32.1948008335,2737.71496539,151125475,bgd
1,japan,16.5752770778,2231.6611287,127450459,jpn
3,mexico,30.1698790029,1023.8990696,117886404,mex
1,philippines,32.7215137194,1308.78586151,93444322,phl
4,ethiopia,32.7079679701,921.317585309,87095281,eth
2,germany,13.9036311548,919.674353436,81776930,deu
4,egypt,31.892953709,8.81685729223,78075705,egy
2,turkey,19.4058943737,425.925841165,72137546,tur
1,thailand,34.3523731712,1336.92965278,66402316,tha
2,france,16.5444612171,843.049538967,65031235,fra
2,unitedkingdom,13.104966408,1166.50639603,62747868,gbr
2,italy,17.0873277064,733.322061777,60483385,ita
1,myanmar,30.3735288852,2024.23666193,51931231,mmr
4,southafrica,28.2608416354,384.287607592,50895698,zaf
2,spain,20.9881102786,508.55560642,46576897,esp
3,colombia,32.1829040415,3362.29799144,46444798,col
2,ukraine,15.3620002984,524.020762265,45870700,ukr
