continent, country_label, temperature, rainfall, population, code
1,china,15.8068105374,653.119415499,1337705000,chn
1,india,31.9131622195,1060.47680123,1205624648,ind
2,unitedstates,17.1184127538,1021.05748645,309326225,usa
1,indonesia,32.2875182783,1781.6960449,240676485,idn
3,brazil,32.7780597322,1697.0631777,195210154,bra
1,pakistan,29.9316429797,172.474482302,173149306,pak
4,nigeria,35.7569357244,588.409165655,159707780,nga
1,bangladesh,30.8117879802,3592.11770518,151125475,bgd
1,japan,17.769445447,1722.73248841,127450459,jpn
3,mexico,31.0770426745,659.603022375,117886404,mex
1,philippines,30.9812398134,1731.77865403,93444322,phl
4,ethiopia,32.3110383205,565.896082474,87095281,eth
2,germany,16.5311002484,885.878268296,81776930,deu
4,egypt,30.883779588,49.9161259531,78075705,egy
2,turkey,18.5844977021,702.715568744,72137546,tur
1,thailand,32.6966750853,1285.3160662,66402316,tha
2,france,19.4709042937,782.238190013,65031235,fra
2,unitedkingdom,15.017743529,1088.30912837,62747868,gbr
2,italy,18.997468417,609.867599823,60483385,ita
1,myanmar,28.9356902539,2062.91520727,51931231,mmr
4,southafrica,28.8976180796,338.599681955,50895698,zaf
2,spain,22.3636502421,621.65680508,46576897,esp
3,colombia,32.3613454417,1880.46596724,46444798,col
2,ukraine,15.9605285813,510.229268876,45870700,ukr
