continent, country_label, temperature, rainfall, population, code
1,china,12.3546783658,695.813694403,1337705000,chn
1,india,28.9262194116,1326.62329173,1205624648,ind
2,unitedstates,15.2301106751,847.621015834,309326225,usa
1,indonesia,30.4715983157,3125.9842112,240676485,idn
3,brazil,28.9577842239,2527.32541022,195210154,bra
1,pakistan,26.7700780071,263.466314394,173149306,pak
4,nigeria,31.9504792929,1170.13134917,159707780,nga
1,bangladesh,28.6784113241,2964.760616,151125475,bgd
1,japan,14.7589202046,1730.2208282,127450459,jpn
3,mexico,28.030736624,1162.74308222,117886404,mex
1,philippines,29.7626747512,3374.22875682,93444322,phl
4,ethiopia,28.8526854552,936.860819036,87095281,eth
2,germany,12.5290519048,746.567806905,81776930,deu
4,egypt,29.6128837588,22.7493575095,78075705,egy
2,turkey,16.4541664058,568.3645319,72137546,tur
1,thailand,29.9466160143,1584.88657078,66402316,tha
2,france,16.1081864932,658.149079723,65031235,fra
2,unitedkingdom,12.143899214,1238.60750779,62747868,gbr
2,italy,15.4046088091,734.643103731,60483385,ita
1,myanmar,26.4437588033,2069.12683387,51931231,mmr
4,southafrica,24.7326022025,627.819459335,50895698,zaf
2,spain,19.9245950814,444.08186225,46576897,esp
3,colombia,27.7636827956,4262.76385114,46444798,col
2,ukraine,12.1779662771,622.548055188,45870700,ukr
