continent, country_label, temperature, rainfall, population, code
1,china,15.1682167516,582.421520782,1337705000,chn
1,india,30.4369893669,1707.16361529,1205624648,ind
2,unitedstates,18.3860613748,770.332615268,309326225,usa
1,indonesia,31.7272534143,3622.93237219,240676485,idn
3,brazil,31.5623548907,2177.01796027,195210154,bra
1,pakistan,29.2927605213,326.991380896,173149306,pak
4,nigeria,33.9016862839,1167.49093989,159707780,nga
1,bangladesh,30.1673068976,3469.9734859,151125475,bgd
1,japan,16.3880971487,1805.90704446,127450459,jpn
3,mexico,29.4631144649,1252.20724621,117886404,mex
1,philippines,31.0517286211,3420.67208184,93444322,phl
4,ethiopia,31.4201505269,922.785976091,87095281,eth
2,germany,14.3998848309,971.578238908,81776930,deu
4,egypt,32.2744620418,14.9911471399,78075705,egy
2,turkey,20.7368797744,296.296891125,72137546,tur
1,thailand,31.9085070631,1863.84055895,66402316,tha
2,france,16.5646243155,1034.54035511,65031235,fra
2,unitedkingdom,12.8957186074,1117.05283032,62747868,gbr
2,italy,17.0130030003,914.317241088,60483385,ita
1,myanmar,28.3331733421,2360.03560338,51931231,mmr
4,southafrica,27.6617824629,408.530930057,50895698,zaf
2,spain,20.3050575063,550.166822607,46576897,esp
3,colombia,29.9925650236,3622.99732186,46444798,col
2,ukraine,16.1010736074,509.243220657,45870700,ukr
