continent, country_label, temperature, rainfall, population, code
1,china,15.4304328381,611.037853105,1337705000,chn
1,india,32.2990294833,1149.72286249,1205624648,ind
2,unitedstates,17.9530272586,913.559602553,309326225,usa
1,indonesia,32.8585100041,1580.20022499,240676485,idn
3,brazil,33.7850716347,1723.20139849,195210154,bra
1,pakistan,29.8165805366,312.67086976,173149306,pak
4,nigeria,36.1694313685,872.429025966,159707780,nga
1,bangladesh,32.1142699808,1866.97119318,151125475,bgd
1,japan,16.9439361576,1815.85518151,127450459,jpn
3,mexico,30.6705876437,842.909321025,117886404,mex
1,philippines,31.0580122049,2253.65730384,93444322,phl
4,ethiopia,32.7112582614,642.795293315,87095281,eth
2,germany,12.7435219352,948.592557086,81776930,deu
4,egypt,32.4964290709,39.4602375687,78075705,egy
2,turkey,19.9128783344,731.513387821,72137546,tur
1,thailand,33.2888746268,1514.51904069,66402316,tha
2,france,14.9715899636,966.246500818,65031235,fra
2,unitedkingdom,12.4320268583,1179.03907322,62747868,gbr
2,italy,15.7506301097,886.201567971,60483385,ita
1,myanmar,30.2262493437,1838.07369746,51931231,mmr
4,southafrica,29.4906939295,417.797705533,50895698,zaf
2,spain,19.4469158721,702.685300452,46576897,esp
3,colombia,32.0548133125,2969.10238114,46444798,col
2,ukraine,14.1883554968,585.606597182,45870700,ukr
