continent, country_label, temperature, rainfall, population, code
1,china,11.8681467214,656.222864036,1337705000,chn
1,india,29.7363142861,1027.0613623,1205624648,ind
2,unitedstates,14.2383324651,911.300811706,309326225,usa
1,indonesia,30.1622591861,3001.67468842,240676485,idn
3,brazil,30.473524621,1590.60236529,195210154,bra
1,pakistan,25.9432599956,231.632980955,173149306,pak
4,nigeria,32.4755307661,1342.2471856,159707780,nga
1,bangladesh,30.4901782342,1636.19245005,151125475,bgd
1,japan,13.1205279716,2217.81186525,127450459,jpn
3,mexico,26.9423464265,1130.60426473,117886404,mex
1,philippines,29.9618875237,2329.95010246,93444322,phl
4,ethiopia,29.512647317,898.126904989,87095281,eth
2,germany,12.3232447299,986.474023028,81776930,deu
4,egypt,29.4365227875,33.3609863998,78075705,egy
2,turkey,16.382442983,696.376450622,72137546,tur
1,thailand,31.8116802569,1826.11439781,66402316,tha
2,france,14.6810008731,1240.67773426,65031235,fra
2,unitedkingdom,11.1556780921,1210.17163348,62747868,gbr
2,italy,15.5139787425,926.307915791,60483385,ita
1,myanmar,28.2421942066,1977.36908906,51931231,mmr
4,southafrica,25.1552384668,594.69792607,50895698,zaf
2,spain,18.4961937395,688.253330878,46576897,esp
3,colombia,29.4834484958,2455.46453178,46444798,col
2,ukraine,11.6440092092,642.826822604,45870700,ukr
