continent, country_label, temperature, rainfall, population, code
1,china,12.3854660989,668.364367777,1337705000,chn
1,india,28.1672701378,1508.42411631,1205624648,ind
2,unitedstates,15.6472471627,763.643815564,309326225,usa
1,indonesia,30.3571138845,3100.10065132,240676485,idn
3,brazil,28.9781312419,2621.03647898,195210154,bra
1,pakistan,25.5373042054,405.925106063,173149306,pak
4,nigeria,31.9353963479,1147.13075809,159707780,nga
1,bangladesh,28.7963673429,2066.46068283,151125475,bgd
1,japan,15.566327135,1655.07788393,127450459,jpn
3,mexico,27.7167393081,1389.53565633,117886404,mex
1,philippines,29.9733381526,2883.67668386,93444322,phl
4,ethiopia,28.9062900422,686.716303997,87095281,eth
2,germany,11.4831657823,899.433380046,81776930,deu
4,egypt,30.0183927787,19.3225016758,78075705,egy
2,turkey,17.9787987811,346.324691203,72137546,tur
1,thailand,29.8784272855,1748.79579723,66402316,tha
2,france,13.557780692,999.8647433,65031235,fra
2,unitedkingdom,10.9361056781,984.503465425,62747868,gbr
2,italy,14.1680804791,1128.80044574,60483385,ita
1,myanmar,26.6666386564,1950.12738182,51931231,mmr
4,southafrica,23.472367035,722.597347587,50895698,zaf
2,spain,17.8323286815,676.254541932,46576897,esp
3,colombia,27.5063290423,4088.09372402,46444798,col
2,ukraine,13.2245492637,544.865082793,45870700,ukr
