continent, country_label, temperature, rainfall, population, code
1,china,12.4879488217,633.667747251,1337705000,chn
1,india,29.3766619255,1400.6509576,1205624648,ind
2,unitedstates,15.8223769547,753.062016423,309326225,usa
1,indonesia,30.4369295118,3588.13939958,240676485,idn
3,brazil,29.7662691633,2190.73655313,195210154,bra
1,pakistan,26.6376145251,277.270760047,173149306,pak
4,nigeria,32.7255839661,1316.87183881,159707780,nga
1,bangladesh,29.8501586022,2333.94638522,151125475,bgd
1,japan,14.2631811141,1453.22322747,127450459,jpn
3,mexico,28.896057915,673.056573916,117886404,mex
1,philippines,30.094827147,2823.83993339,93444322,phl
4,ethiopia,29.4096750628,951.222280725,87095281,eth
2,germany,11.8634247988,835.828928692,81776930,deu
4,egypt,29.8110910655,9.55418082245,78075705,egy
2,turkey,17.5281494763,491.129983402,72137546,tur
1,thailand,30.1954263988,2111.41976987,66402316,tha
2,france,14.6235718608,1049.00715718,65031235,fra
2,unitedkingdom,11.6259315303,1103.65983009,62747868,gbr
2,italy,15.6478337322,814.895779675,60483385,ita
1,myanmar,27.0317640015,2332.32144258,51931231,mmr
4,southafrica,24.6877765034,701.036063204,50895698,zaf
2,spain,19.3084980046,649.225972905,46576897,esp
3,colombia,28.6793513784,2814.21960072,46444798,col
2,ukraine,13.1652529064,519.317546226,45870700,ukr
