continent, country_label, temperature, rainfall, population, code
1,china,13.1347815297,566.279988389,1337705000,chn
1,india,29.3446068172,1259.5348484,1205624648,ind
2,unitedstates,15.8627126292,707.190336349,309326225,usa
1,indonesia,30.0465734112,3351.58122241,240676485,idn
3,brazil,29.7762700521,1942.29108495,195210154,bra
1,pakistan,25.9717097425,672.544133064,173149306,pak
4,nigeria,31.7486722736,1296.62492335,159707780,nga
1,bangladesh,29.452900244,2290.88789811,151125475,bgd
1,japan,14.5955251085,1810.56702094,127450459,jpn
3,mexico,28.2506853712,716.973738034,117886404,mex
1,philippines,29.5923269651,3486.63080956,93444322,phl
4,ethiopia,28.8706942286,902.669888277,87095281,eth
2,germany,11.6980990524,931.966880596,81776930,deu
4,egypt,29.8090376498,42.2582062913,78075705,egy
2,turkey,17.0977425905,565.937847554,72137546,tur
1,thailand,30.3293018728,1841.42981764,66402316,tha
2,france,14.0934172632,903.363156724,65031235,fra
2,unitedkingdom,12.327125417,786.242958852,62747868,gbr
2,italy,14.4396605804,772.811873447,60483385,ita
1,myanmar,27.1044609111,2346.57899818,51931231,mmr
4,southafrica,23.9041292081,595.442459563,50895698,zaf
2,spain,18.3010299666,674.841342331,46576897,esp
3,colombia,29.1006923912,2123.66486666,46444798,col
2,ukraine,11.8984700177,555.869509689,45870700,ukr
