continent, country_label, temperature, rainfall, population, code
1,china,12.8204161245,708.015932868,1337705000,chn
1,india,30.038075551,1192.93040214,1205624648,ind
2,unitedstates,14.9400512481,877.571694213,309326225,usa
1,indonesia,30.438309578,3425.54737773,240676485,idn
3,brazil,30.0392366427,1923.14041938,195210154,bra
1,pakistan,27.3301540244,258.619525116,173149306,pak
4,nigeria,32.6843262958,1449.00092736,159707780,nga
1,bangladesh,30.1319115438,3091.62377038,151125475,bgd
1,japan,14.9776345142,1843.40439903,127450459,jpn
3,mexico,28.7590469226,861.856553814,117886404,mex
1,philippines,29.831104578,2928.54079036,93444322,phl
4,ethiopia,30.0734832867,665.527336879,87095281,eth
2,germany,12.2545692485,948.331778402,81776930,deu
4,egypt,29.9648298955,27.5552733153,78075705,egy
2,turkey,16.9210451718,632.197253356,72137546,tur
1,thailand,31.0276403074,2091.65870475,66402316,tha
2,france,15.3114986029,970.486599618,65031235,fra
2,unitedkingdom,12.4421193523,995.229533986,62747868,gbr
2,italy,15.4435301376,998.921011726,60483385,ita
1,myanmar,27.5365570164,2889.35019078,51931231,mmr
4,southafrica,25.7194150755,557.24303759,50895698,zaf
2,spain,18.6671106934,891.010190832,46576897,esp
3,colombia,29.3349405443,2358.2075471,46444798,col
2,ukraine,12.987822235,593.092101744,45870700,ukr
