continent, country_label, temperature, rainfall, population, code
1,china,12.5322337294,659.127956872,1337705000,chn
1,india,29.3015184733,1187.63889214,1205624648,ind
2,unitedstates,15.636218732,868.872608043,309326225,usa
1,indonesia,29.9976016863,2583.89512861,240676485,idn
3,brazil,29.94758721,1945.66576104,195210154,bra
1,pakistan,27.1605044205,184.246453518,173149306,pak
4,nigeria,32.6447524241,1430.80789034,159707780,nga
1,bangladesh,29.1387315756,3033.46520449,151125475,bgd
1,japan,14.4336674354,1920.14655083,127450459,jpn
3,mexico,28.0775224808,610.149050191,117886404,mex
1,philippines,29.3596059603,2887.95256561,93444322,phl
4,ethiopia,29.7867823187,807.146402227,87095281,eth
2,germany,11.2119776399,810.434911085,81776930,deu
4,egypt,30.2993753969,17.146115787,78075705,egy
2,turkey,17.3937513683,659.794025825,72137546,tur
1,thailand,31.0897207021,1556.45822454,66402316,tha
2,france,14.0200413198,871.809490329,65031235,fra
2,unitedkingdom,11.1412464795,870.621879609,62747868,gbr
2,italy,14.2561282544,1070.59441737,60483385,ita
1,myanmar,27.5047577312,2073.78939155,51931231,mmr
4,southafrica,24.2663611916,661.656912581,50895698,zaf
2,spain,17.7826850606,894.804836962,46576897,esp
3,colombia,28.8669974367,2695.8979669,46444798,col
2,ukraine,12.3236081639,661.310668845,45870700,ukr
