continent, country_label, temperature, rainfall, population, code
1,china,12.3504007303,647.171199862,1337705000,chn
1,india,29.6283125894,977.11068793,1205624648,ind
2,unitedstates,15.6535631399,808.877559125,309326225,usa
1,indonesia,30.3910631317,2665.21605087,240676485,idn
3,brazil,30.5371640704,1849.00609106,195210154,bra
1,pakistan,26.27174269,229.050607046,173149306,pak
4,nigeria,32.5267225598,1447.12767285,159707780,nga
1,bangladesh,29.4639857756,2442.08243414,151125475,bgd
1,japan,14.5908015467,1600.71648123,127450459,jpn
3,mexico,28.0671386166,1005.15822677,117886404,mex
1,philippines,29.6010694038,2446.67614217,93444322,phl
4,ethiopia,30.0339946564,771.620180295,87095281,eth
2,germany,12.7897203874,1137.08780406,81776930,deu
4,egypt,29.1442718762,43.1430723934,78075705,egy
2,turkey,16.7762386438,804.091080149,72137546,tur
1,thailand,31.3272437413,1544.43861361,66402316,tha
2,france,14.7724801661,1127.59693853,65031235,fra
2,unitedkingdom,12.4959964855,1139.36188436,62747868,gbr
2,italy,14.4162316528,1111.71203802,60483385,ita
1,myanmar,27.4420997221,2277.81842505,51931231,mmr
4,southafrica,25.5141969515,377.716609371,50895698,zaf
2,spain,18.9697075192,555.968894817,46576897,esp
3,colombia,29.6424283339,2274.855733,46444798,col
2,ukraine,13.0289758219,532.19957622,45870700,ukr
