continent, country_label, temperature, rainfall, population, code
1,china,15.3716727502,700.987593469,1337705000,chn
1,india,31.546151413,1573.56405944,1205624648,ind
2,unitedstates,17.9059128486,824.047313722,309326225,usa
1,indonesia,32.0484654951,2803.07198637,240676485,idn
3,brazil,33.1679784476,1395.43818466,195210154,bra
1,pakistan,29.8543328875,370.398972332,173149306,pak
4,nigeria,35.2234896825,1065.71625764,159707780,nga
1,bangladesh,31.7061165572,3184.59947871,151125475,bgd
1,japan,17.251251549,1889.81941211,127450459,jpn
3,mexico,30.7036868627,621.15486148,117886404,mex
1,philippines,31.3723065135,3074.23455584,93444322,phl
4,ethiopia,31.7159204865,1221.04347275,87095281,eth
2,germany,13.9723540547,953.29703215,81776930,deu
4,egypt,32.2545211338,17.859177871,78075705,egy
2,turkey,19.9817658762,507.334099583,72137546,tur
1,thailand,32.7532829132,1656.10698277,66402316,tha
2,france,17.1018093054,932.238464131,65031235,fra
2,unitedkingdom,13.6136264282,1084.10990795,62747868,gbr
2,italy,17.028824435,787.248199536,60483385,ita
1,myanmar,29.8236979305,2255.66890508,51931231,mmr
4,southafrica,28.1146133439,483.87471238,50895698,zaf
2,spain,21.3540187734,437.621228905,46576897,esp
3,colombia,32.4587505291,1878.29163407,46444798,col
2,ukraine,14.67872087,674.287703694,45870700,ukr
