continent, country_label, temperature, rainfall, population, code
1,china,12.6068821794,677.43196642,1337705000,chn
1,india,29.4408066229,1208.10350251,1205624648,ind
2,unitedstates,14.7779345908,887.656871227,309326225,usa
1,indonesia,30.520090159,2982.20239745,240676485,idn
3,brazil,30.2709948325,2090.51932122,195210154,bra
1,pakistan,25.7624402373,305.226575664,173149306,pak
4,nigeria,33.3043619362,1190.68520964,159707780,nga
1,bangladesh,29.7748738381,2180.69918508,151125475,bgd
1,japan,14.9853769027,1761.93288538,127450459,jpn
3,mexico,28.2557048687,1260.62058991,117886404,mex
1,philippines,29.8854608432,2600.83412567,93444322,phl
4,ethiopia,29.851839505,775.069394357,87095281,eth
2,germany,11.0264966227,1013.84476648,81776930,deu
4,egypt,30.1303459768,15.6930252343,78075705,egy
2,turkey,18.0830136648,440.757630642,72137546,tur
1,thailand,31.5412091058,1501.22615006,66402316,tha
2,france,14.3487805247,1072.59880212,65031235,fra
2,unitedkingdom,10.9121987279,1143.38627457,62747868,gbr
2,italy,14.4164142623,862.458496037,60483385,ita
1,myanmar,27.5508705701,2026.08299373,51931231,mmr
4,southafrica,24.9946029583,618.141301758,50895698,zaf
2,spain,18.6817381164,688.09278678,46576897,esp
3,colombia,28.8144245171,3384.64978609,46444798,col
2,ukraine,13.105487654,561.283955026,45870700,ukr
