continent, country_label, temperature, rainfall, population, code
1,china,13.079220825,539.519640576,1337705000,chn
1,india,29.9445158789,1085.97591381,1205624648,ind
2,unitedstates,15.3333341579,738.862588679,309326225,usa
1,indonesia,30.5702126792,2238.642411,240676485,idn
3,brazil,30.6579358896,1833.07269277,195210154,bra
1,pakistan,26.2568559303,324.640863296,173149306,pak
4,nigeria,33.8771630066,950.760689092,159707780,nga
1,bangladesh,31.0005711251,1328.56324474,151125475,bgd
1,japan,15.337034682,1863.56453926,127450459,jpn
3,mexico,29.3450649731,839.204470596,117886404,mex
1,philippines,29.572351867,3239.44307981,93444322,phl
4,ethiopia,30.3644814318,576.75555555,87095281,eth
2,germany,13.096591398,906.004540352,81776930,deu
4,egypt,30.0953226776,15.6917290494,78075705,egy
2,turkey,18.317358092,539.947406624,72137546,tur
1,thailand,31.6456362147,1904.89339177,66402316,tha
2,france,15.1688379086,1041.34469662,65031235,fra
2,unitedkingdom,11.9183690792,1187.85732285,62747868,gbr
2,italy,15.7646616416,996.692699585,60483385,ita
1,myanmar,28.5256314546,1937.08313288,51931231,mmr
4,southafrica,26.164742989,437.416945779,50895698,zaf
2,spain,18.8926538468,763.774517647,46576897,esp
3,colombia,29.6732516131,2337.89508228,46444798,col
2,ukraine,14.8267193941,518.963136712,45870700,ukr
