continent, country_label, temperature, rainfall, population, code
1,china,13.2736241421,587.287687377,1337705000,chn
1,india,29.9079670204,967.47409609,1205624648,ind
2,unitedstates,14.9298622135,825.074775784,309326225,usa
1,indonesia,30.5516525229,1898.65551374,240676485,idn
3,brazil,31.0544486024,1365.68798262,195210154,bra
1,pakistan,26.4017626277,367.002021744,173149306,pak
4,nigeria,32.7302040909,1223.87161244,159707780,nga
1,bangladesh,30.8888191285,1854.277231,151125475,bgd
1,japan,15.3076927538,1842.58961686,127450459,jpn
3,mexico,28.1616492724,729.766944593,117886404,mex
1,philippines,29.3534704106,2525.41567502,93444322,phl
4,ethiopia,29.7193390118,832.708115577,87095281,eth
2,germany,13.124497277,942.28423435,81776930,deu
4,egypt,29.1797229624,37.1240967515,78075705,egy
2,turkey,16.1628901294,719.341199582,72137546,tur
1,thailand,31.833007731,1511.52907437,66402316,tha
2,france,15.2407893501,987.336409116,65031235,fra
2,unitedkingdom,12.6488567518,1281.6329214,62747868,gbr
2,italy,15.2469033896,836.015890873,60483385,ita
1,myanmar,28.6486861108,1804.00278334,51931231,mmr
4,southafrica,24.8972005224,524.871599219,50895698,zaf
2,spain,19.1220676393,530.233676093,46576897,esp
3,colombia,30.0428604355,1872.4867871,46444798,col
2,ukraine,13.4474537707,502.287919263,45870700,ukr
