continent, country_label, temperature, rainfall, population, code
1,china,16.1490759121,610.478482034,1337705000,chn
1,india,31.883473595,1205.06266324,1205624648,ind
2,unitedstates,18.4793892103,730.827455261,309326225,usa
1,indonesia,31.9493408414,2873.78208645,240676485,idn
3,brazil,32.8507447766,1466.89360771,195210154,bra
1,pakistan,29.5833053778,262.837253198,173149306,pak
4,nigeria,34.0391781253,1278.66852743,159707780,nga
1,bangladesh,32.3474760602,2033.55559762,151125475,bgd
1,japan,17.2415871363,1737.45822974,127450459,jpn
3,mexico,30.1895196739,755.39536113,117886404,mex
1,philippines,31.2009533381,2616.05091087,93444322,phl
4,ethiopia,31.5993331788,1110.79167252,87095281,eth
2,germany,13.5181490536,1198.08838291,81776930,deu
4,egypt,31.6584212981,18.5737144609,78075705,egy
2,turkey,18.9892412936,583.852054601,72137546,tur
1,thailand,33.5299970896,1479.37507777,66402316,tha
2,france,15.8431632315,1167.81345413,65031235,fra
2,unitedkingdom,12.8732507773,1248.5983934,62747868,gbr
2,italy,16.8282325065,771.151884667,60483385,ita
1,myanmar,30.4122475351,1934.04086971,51931231,mmr
4,southafrica,29.0538242638,255.970954152,50895698,zaf
2,spain,20.5655104684,578.062156129,46576897,esp
3,colombia,32.0869840496,2141.60685019,46444798,col
2,ukraine,13.8007805954,736.109185082,45870700,ukr
