continent, country_label, temperature, rainfall, population, code
1,china,12.8297113678,603.189868669,1337705000,chn
1,india,28.9494972049,1309.95182097,1205624648,ind
2,unitedstates,13.6674127498,832.106282497,309326225,usa
1,indonesia,29.7637157746,2470.57361889,240676485,idn
3,brazil,29.9023183419,1670.20157699,195210154,bra
1,pakistan,26.2620582895,291.955252775,173149306,pak
4,nigeria,31.9642599918,1156.04358412,159707780,nga
1,bangladesh,29.1438126051,2920.38259856,151125475,bgd
1,japan,14.5466278452,2043.11586998,127450459,jpn
3,mexico,27.7281071849,620.878083914,117886404,mex
1,philippines,29.204560073,2844.06159552,93444322,phl
4,ethiopia,29.2611905772,822.477778746,87095281,eth
2,germany,11.0252918202,968.729412973,81776930,deu
4,egypt,29.7861060789,34.9834719067,78075705,egy
2,turkey,17.1584777309,737.81802588,72137546,tur
1,thailand,30.6805209429,1953.06677512,66402316,tha
2,france,13.2625982076,1128.65323989,65031235,fra
2,unitedkingdom,10.7018541433,1044.7238461,62747868,gbr
2,italy,14.0600637952,1167.81420388,60483385,ita
1,myanmar,27.2746094135,2294.84320201,51931231,mmr
4,southafrica,24.6004739492,502.847904129,50895698,zaf
2,spain,17.6894943481,820.792755249,46576897,esp
3,colombia,29.2375520522,2022.13449835,46444798,col
2,ukraine,12.1549671902,676.112785686,45870700,ukr
