continent, country_label, temperature, rainfall, population, code
1,china,12.7340987902,654.030068968,1337705000,chn
1,india,29.3707853599,1104.79464139,1205624648,ind
2,unitedstates,16.4726495584,641.397541525,309326225,usa
1,indonesia,29.9892664253,2908.25814021,240676485,idn
3,brazil,29.3301232562,2462.82314294,195210154,bra
1,pakistan,26.7993290086,214.372502224,173149306,pak
4,nigeria,32.9771949704,1057.65531922,159707780,nga
1,bangladesh,29.6177299015,1751.2035037,151125475,bgd
1,japan,15.0234209776,1578.04514741,127450459,jpn
3,mexico,28.4145205679,600.465809309,117886404,mex
1,philippines,29.1148758925,2703.15081548,93444322,phl
4,ethiopia,29.8512606802,843.635925928,87095281,eth
2,germany,13.2856552594,879.713280666,81776930,deu
4,egypt,28.8170121602,40.6223805953,78075705,egy
2,turkey,16.496249273,489.891545759,72137546,tur
1,thailand,30.7252444739,1632.57873898,66402316,tha
2,france,16.2664898215,732.112051517,65031235,fra
2,unitedkingdom,12.9781308598,1041.93107579,62747868,gbr
2,italy,15.1731442609,764.944661674,60483385,ita
1,myanmar,27.291590136,1991.98641899,51931231,mmr
4,southafrica,25.4637619197,492.414265945,50895698,zaf
2,spain,19.925266034,464.605480254,46576897,esp
3,colombia,28.3875624746,3223.83859657,46444798,col
2,ukraine,12.5989154311,471.558004665,45870700,ukr
