continent, country_label, temperature, rainfall, population, code
1,china,11.9939547344,692.343246103,1337705000,chn
1,india,28.1986108446,1537.18433186,1205624648,ind
2,unitedstates,14.686934935,776.448862879,309326225,usa
1,indonesia,30.709051929,3311.60552362,240676485,idn
3,brazil,29.8146046212,2508.27329339,195210154,bra
1,pakistan,25.6094743384,382.489821942,173149306,pak
4,nigeria,32.8436521349,1395.06231033,159707780,nga
1,bangladesh,28.5965510087,3056.66444234,151125475,bgd
1,japan,15.3467687159,1592.01928345,127450459,jpn
3,mexico,28.7171972723,825.410611661,117886404,mex
1,philippines,29.9723089982,2274.41668272,93444322,phl
4,ethiopia,30.1320622397,691.687357782,87095281,eth
2,germany,12.4486796236,977.089931839,81776930,deu
4,egypt,28.6936995527,62.4093955055,78075705,egy
2,turkey,16.5698157374,511.362206753,72137546,tur
1,thailand,30.5531645967,1665.61069685,66402316,tha
2,france,15.2005151542,852.960246984,65031235,fra
2,unitedkingdom,11.5846908774,1260.70957294,62747868,gbr
2,italy,15.2824070355,692.207075887,60483385,ita
1,myanmar,26.7358057987,2246.2341396,51931231,mmr
4,southafrica,25.2740763169,500.82634049,50895698,zaf
2,spain,19.4281539867,405.887000416,46576897,esp
3,colombia,28.4589720573,3395.24567297,46444798,col
2,ukraine,12.2096252152,512.191327017,45870700,ukr
