continent, country_label, temperature, rainfall, population, code
1,china,15.3960873127,590.657123882,1337705000,chn
1,india,31.7542088665,810.137040299,1205624648,ind
2,unitedstates,18.7348967277,692.490462022,309326225,usa
1,indonesia,31.4273827265,2605.44078223,240676485,idn
3,brazil,32.1310485322,1864.99319533,195210154,bra
1,pakistan,29.4601015075,168.495387197,173149306,pak
4,nigeria,34.2750817993,1010.72986548,159707780,nga
1,bangladesh,32.6048213748,2221.13430319,151125475,bgd
1,japan,17.2235401295,1629.10976142,127450459,jpn
3,mexico,30.5841919644,850.14151219,117886404,mex
1,philippines,30.3729954982,2865.07485618,93444322,phl
4,ethiopia,31.197301381,725.50155652,87095281,eth
2,germany,13.4741746868,1046.31561198,81776930,deu
4,egypt,32.0122575713,29.3554632411,78075705,egy
2,turkey,19.8911801427,459.254902851,72137546,tur
1,thailand,32.7198882863,1602.0459692,66402316,tha
2,france,15.7262669339,1251.96837541,65031235,fra
2,unitedkingdom,12.747969588,1130.51127069,62747868,gbr
2,italy,16.4329042613,1195.99692653,60483385,ita
1,myanmar,30.2257815779,1819.49805015,51931231,mmr
4,southafrica,27.2817041289,539.095084009,50895698,zaf
2,spain,19.4141233248,810.337104323,46576897,esp
3,colombia,30.5483837656,2714.35079029,46444798,col
2,ukraine,14.458082754,634.894562167,45870700,ukr
